movietitle,year
Masangeles,2009
Tous au Larzac,2012
Plop en de kabouterbaby,2009
"Moi, Michel G., milliardaire, maître du monde",2011
I Am Kalam,2011
Sammy's Adventures: The Secret Passage,2010
Mon colonel,2007
Irina Palm,2008
Sammy's Adventures: The Secret Passage,2011
Irina Palm,2008
"Allez, Eddy!",2012
Noir océan (Black Ocean),2010
Ghost Rider: Spirit of Vengeance,2012
Irina Palm,2007
Wolf,2010
De Poetsprins,2007
Irina Palm,2007
Ghost Rider: Spirit of Vengeance,2012
Ghost Rider: Spirit of Vengeance,2012
Fabuleuses Fabulettes,2007
Code 37,2011
Le Tigre Et Les Animaux De La Foret,2011
Het Lenteritueel,2008
"HH, Hitler à Hollywood (Hitler in Hollywood)",2011
Sammy's Adventures: The Secret Passage,2010
Christmas in Paris,2008
Oxygen (Adem),2010
Vous êtes de la police?,2008
Homme au bain (Man at Bath),2010
Irina Palm,2008
Formidable,2008
Irina Palm,2007
Ghost Rider: Spirit of Vengeance,2012
Ghost Rider: Spirit of Vengeance,2012
Linkeroever,2008
Ghost Rider: Spirit of Vengeance,2012
Kerity,2010
Wo 11 (11 Flowers),2012
"4, 5, 6... Mélie pain d'épice",2010
Les Fourmis rouges,2007
Zot van A.,2010
L'Or Noye De Kamituga,2008
Tot altijd,2012
Little Black Spiders,2012
Ghost Rider: Spirit of Vengeance,2012
Cabale à Kaboul,2008
Vreemd bloed (The Odd One Out),2010
Dagen zonder lief,2007
The Woman Who Brushed Off Her Tears (Man on Asphalt),2012
La famille Wolberg,2010
Irina Palm,2007
Ghost Rider: Spirit of Vengeance,2012
Dans ton sommeil (In Their Sleep),2011
Bo (2010),2010
Hospital Obrero,2009
La Cacería del Nazi (La Traque),2008
Día de boda,2008
Ultima Jugada,2011
Que Paso? (2009),2009
Miguel N. El Hombre Detras del Secuestro de Londsdale,2009
Schreibe mir - Postkarten nach Copacabana,2009
Rojo Amarillo Verde,2009
María y los niños pobres,2010
Pecado De La Carne,2012
En busca del Paraiso,2010
La Promo,2008
Gud Bisnes (Good Business),2010
"Historias De Vino, Singani Y Alcoba",2009
Un Diá más,2009
Airamppo,2008
Las Bellas Durmientes,2012
El Ascensor,2009
El Pocholo y su marida,2010
Casting,2010
Los gringos no comen llajua,2011
Una Sombra al frente,2008
Vivir Contra El Tiempo,2012
El Cementerio De Los Elefantes,2008
Vidas Lejanas,2011
Tres Dias (Three Days),2011
Ecoman,2009
Maleficarum,2012
Coração Vagabundo,2009
Até que a Sorte nos Separe,2012
Orquestra dos Meninos,2008
A Festa da Menina Morta (The Party of the Girl Dead),2009
E a Vida Continua...,2012
O Bem Amado,2010
O Contador de Histórias,2009
Cidade de Dues (City of God),2003
Bezerra de Menezes: O Diário de um Espírito,2008
Cada Um Com Seu Cinema,2008
Cidade de Dues (City of God),2003
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
Besouro (Beetle),2009
Juizo (Judgement),2008
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
Cidade de Dues (City of God),2003
As Canções,2011
Cidade de Dues (City of God),2004
Uma Professora Muito Maluquinha,2011
Romance do Vaqueiro Voador,2008
Tropicália,2012
Juventude (1949) (Re),2008
O Signo da Cidade,2008
Muita Calma Nessa Hora,2010
Brownian Movement,2012
Reis e Ratos,2012
Tempos de Paz (Time of Peace),2009
"Astro, uma fábula urbana em um Rio de janeiro mágico",2012
Encarnação do Demônio,2008
Billi Pig,2012
Palavra (en)cantada (Enchanted Word),2009
Circular,2012
Menos que nada,2012
No Olho Da Rua (Dismissed),2011
Pequenas Histórias,2008
Sudoeste (Southwest),2012
Dias e Noites,2008
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
O Aborto dos Outros,2008
Do Começo ao Fim (From Beginning to End),2009
Destiny Road,2012
Mostra Panorama Do Cinema,2008
5X Pacificacao,2012
Brichos II,2012
O Homem Que Não Dormia,2012
Mulheres Sexo Verdades Mentiras,2008
OS Contos De Canterbury,2009
Quiem Se Importa? (Who Cares?),2012
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
Federals,2010
Estamos Juntos (We Are Together),2011
Heleno,2012
Virando bicho,2012
Corações Sujos (Dirty Hearts),2012
5 Frações de Uma Quase História,2008
Apnea,2012
High School Musical: O Desafio,2010
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
Pindorama a Verdadeira Historia Dos 7,2008
Cidade de Dues (City of God),2003
Otavio e as Letras,2008
Titas - A Vida Ate Parece uma festa,2009
Marighella,2012
Brasil Animado,2011
O Mistério do Samba,2008
Ainda Orangotangos,2008
Era Uma Vez...,2008
Soberano 2: A Heroica Conquista Do Mundial De 2005,2012
Eu e Meu Guarda-Chuv (Me and My Umbrella),2010
Olhos azuis,2010
Peixonauta,2012
A Febre do Rato,2012
Um homem qualquer,2012
Like Water,2012
Sonhos Roubados,2010
Falsa Loura,2008
Nossa Vida Não Cabe Num Opala,2008
Garoto Cosmico,2008
VIPs,2011
Cidade de Dues (City of God),2009
Cidade de Dues (City of God),2003
Opera - Orfeu E Euridice,2009
O Diário de Tati,2012
Cabeça a prêmio,2010
Panair do Brasil,2008
Cidade de Dues (City of God),2003
Feliz Natal,2008
O Palhaço,2011
De Pernas pro Ar,2010
Curitiba Zero Grau,2012
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
Inútil,2009
Cilada.com (Trap.com),2011
O Guerreiro Didi e a Ninja Lili,2008
Some Like It Hot (2012 re-release),2012
The Neighbor,2008
Não Se Preocupe. Nada Vai Dar Certo,2011
Os Normais 2 - A Noite Mais Maluca de Todas,2009
As Mães de Chico Xavier,2011
Jean Charles,2009
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
"1959, O Ano Em Que O Mundo Descobriu...",2008
Devacao,2008
Cidade de Dues (City of God),2003
Gloria Ao Cineasta,2009
Argus Montenegro & A Instabilidade Do Tempo Forte,2012
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2012
Chico Xavier,2010
Meu Nome É Dindi,2008
"Raul - O Início, o Fim e o Meio",2012
Barry E A Banda De Minhocas,2009
À Beira do Caminho,2012
Dia de Preto,2012
Anabazys,2009
O Céu Sobre os Ombros,2011
Malu de Bicicleta,2011
Os 3 (We 3),2011
Bodas de papel,2008
Marcelo Yuka no Caminho das Setas (Marcelo Yuka: Follow the Signs),2012
O Homem do Futuro,2011
Prova De Artista (Proof of Artist),2011
Cidade de Dues (City of God),2003
Se Eu Fosse Você 2 (If I Were You 2),2009
Filme Dos Espiritos (The Film of the Spirits),2011
E Aí... Comeu?,2012
Branca de Neve,2008
A Casa da Mãe Joana,2008
"Blanche-Neige, la suite",2008
Musicagem,2008
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2010
O Contestado - Restos Mortais,2012
O Tempo E O Lugar,2008
Assalto Ao Banco Central,2011
Segurança Nacional,2010
Fumando Espero (Smoking I Wait),2009
Antes Que o Mundo Acabe,2010
Boca Do lixo,2012
Lower City (Cidade Baixa),2006
Licao De Amor,2009
Cidade de Dues (City of God),2003
Romance De Formacao (Graduation Romance),2012
Reidy A Construcao Da Utopia,2011
Hugo - O Tesouro Da Amazonia,2008
A Mulher Invisível (Invisible Woman),2009
Quebradeiras,2011
Bela Noite Para Voar,2009
Onde Está a Felicidade?,2011
Gonzaga - De pai para filho,2012
A Fronteira Da Alvorada,2008
Serras da desordem,2008
Os Penetras (Party Crashers),2012
Cidade de Dues (City of God),2004
Félix et Lola,2009
Chega de Saudade,2008
Bashing,2008
Totalmente Inocentes,2012
Vou Rifar meu Coração,2012
O Demoninho De Olhos Pretos,2008
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2012
Condor,2008
A Musica Segundo Tom Jobim (The Music According Tom Jobim),2012
2 Coelhos,2012
Qualquer Gato Vira-Lata,2011
Os Desafinados,2008
Nome Próprio,2008
Cidade de Dues (City of God),2003
Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2),2011
Cleópatra,2008
Mamonas - The Documentary,2011
Onde O Coruja Dorme,2012
Simonal - Ninguém sabe o duro que dei (Simonal - Nobody knows how hard I've worked),2009
Disparos,2012
Contratempo,2009
Le vendeur,2012
Our Lady of Apareceda,2010
Terra Vermelha,2008
A Mulher do meu Amigo,2008
Salve Geral,2009
Paraísos artificiales,2012
Sagrado Segredo,2012
Deserto Feliz,2008
Meu Nome Não é Johnny,2008
Amor? Love?,2011
Nosso Lar,2010
"Alo Alo Terezinha (Hello Hello, Terezinha)",2009
Dino Cazzola,2012
Dois Em Um,2009
Outlaw (2010),2010
A Novela das 8,2012
Foo Fighters: Back and Forth,2011
Personal Che,2008
Construção,2012
Família Vende Tudo,2011
Onde Andará Dulce Veiga?,2008
The Two Deaths of Quincas Wateryell,2010
Romance (2008),2008
Fim da Linha,2008
Uma Longa Viagem (A Long Journey),2012
Herbert De Perto (Near Herbert),2009
Apenas o Fim (Just the End),2009
É Proibido Fumar,2009
Lucia di Lammermoor,2009
Muito Alem Do Peso,2012
Cidade de Dues (City of God),2003
Vida Sobre Rodas (Life on Wheels),2010
Antonio Conselheiro - O Taumaturgo Dos Sertoes (The Miracle Worker From Hinterlands),2012
Sao Paulo Companhia De Danca,2012
Agamenon O Filme,2012
Desenrola,2011
Oliver Sherman,2012
Lower City (Cidade Baixa),2006
Xuxa e o Mistério de Feiurinha,2009
Valsa Para Bruno Stein,2008
Patitiva,2009
Entre Lençóis,2008
O Menino da Porteira,2009
Paralelo 10,2012
Xingu,2012
Amanhã Nunca Mais,2011
Cara Ou Cora,2012
Brigada Paraquedista,2008
O Dragão da Maldade contra o Santo Guerreiro (1969) (Re),2008
Se Nada Mais Der Certo (If Nothing Else Goes Right),2009
"5 x Favela, Now by Ourselves",2010
Area Q.,2012
Olho De Boi (Ox Eye),2008
Broder (Brother),2011
Os Famosos e os Duendes da Morte (The Famous and the Dead),2010
De Pernas pro Ar 2,2012
Late Bloomer (2011),2011
A Guerra dos Rocha,2008
Andarilho,2008
Mãe e Filha,2012
A Serbian Film,2011
Novo Seculo Americano,2009
Samba Canção,2008
Cidade de Dues (City of God),2003
"Era Uma Vez Eu, Verônica",2012
Polaróides Urbanas,2008
Luz nas trevas - a volta do bandido da Luz Vermelh,2012
A Suprema Felicidade,2010
Linha de Montagem (1982) (Re),2008
Embarque Imediato,2009
Vale Dos Esquecidos,2012
Veronica,2009
Cidade de Dues (City of God),2003
Como Esquecer,2010
Obarnata elha (Christmas Tree Upside Down),2006
The Island (2011),2011
Lora From Morning Till Evening,2011
Nyócker! (The District),2006
Hindemidth,2008
Stapki v pyasaka (Footsteps in the Sand),2011
Vreme za jeni,2007
Jigsaw Puzzle,2012
Operation Shmenti Capelli,2011
Investigation,2006
Freaky Day,2005
"Sbogom, mamo",2011
Home,2009
Sparrows In Oktober,2007
La Mujer mas fea del mundo (The Ugliest Woman on Earth),2002
Le Plaisir et ses Petits...,2002
Tilt,2011
Children of Wax,2007
Zad Kadar,2012
Tiger Brigades,2006
The Prince and the Pauper,2006
Georgi i peperudite (Georgi and the Butterflies),2005
HDSP,2010
Bal-Can-Can,2006
The Wedding (2008),2008
Maimuni prez zimata,2007
Time for Sentiments,2005
Dead Awake,2011
Mila ot Mars,2005
Les Gaous,2006
Fly by Rossinant,2007
Stoichkov,2012
Shivachki,2007
Leydi Zi,2005
"Edinstvenata lyubovna istoriya, koyato Hemingway ne opisa (A Farewell to Hemingway)",2009
A dnes nakade (Which Way Today),2008
Kozelat,2009
Otkradnati ochi (Stolen Eyes),2005
Iztochni Piesi,2009
Pas de repos pour les braves,2005
The Foreigner,2012
When I Grow Up I'll Be a Kangaroo,2006
"Pistol, Suitcase And Three Stinking Barrels",2012
Kecove (Sneakers),2011
Forecast,2009
Podslon,2011
Love.net,2011
Problemat s komarite i drugi istorii (The Mosquito Problem and Other Stories),2008
One More Dream,2012
Neverwas,2006
Pazachyt na myrtvite (Warden of the Dead),2007
Rapid Reaction Corps,2012
Buntat Nal,2006
Munje!,2006
Mission London,2010
Little Conversations,2008
Raza Brava,2008
La Vida Me Mata,2007
La Buena vida,2009
Papelucho y el Marciano,2007
Solos (2008),2009
El Diario De Agustin,2008
Ojos Rojos,2010
Normal con alas,2007
La Buena vida,2010
Ilusiones ópticas,2009
Secretos,2008
Microfilia,2008
Lo bueno de llorar,2008
La Remolienda,2007
199 recetas para ser feliz,2008
Mansacue,2008
Grado 3,2009
Radio Corazón,2007
La Buena vida,2009
Desierto sur,2008
Che Kopete: La película,2007
Los Pulentos,2007
Prohibido Prohibir,2008
"1973, Revoluciones Por Minuto",2008
Chile puede,2008
Muñeca,2008
La Buena vida,2008
Teresa,2009
Malta con huevo,2007
Alicia en el país,2008
La Esmeralda 1879,2010
El Ano Que Mis Padres...,2007
Mirageman,2008
Alpha Male,2006
Fiesta Patria,2007
Drama (2010),2010
Hero (Ying xiong),2004
Wei Dao Nan Nv,2008
Sanxia haoren (Still Life),2007
Lü cao di (Mongolian Ping Pong),2006
Kampfansage - Der letzte Schüler (Bullet Fist),2007
Hero (Ying xiong),2004
The Painted Veil,2007
Hero (Ying xiong),2004
You Xi Mi Cang,2008
Mang shan (Blind Mountain),2009
Hero (Ying xiong),2003
Shi mian mai fu (House of Flying Daggers),2005
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),2009
The Painted Veil,2007
Flying Swords of Dragon Gate,2012
Sanxia haoren (Still Life),2008
Shi mian mai fu (House of Flying Daggers),2005
Flying Swords of Dragon Gate,2011
The Painted Veil,2006
Shi mian mai fu (House of Flying Daggers),2004
Marriage Trap,2008
Night Attack,2007
Hero (Ying xiong),2004
Waiting in Beijing,2008
Shi mian mai fu (House of Flying Daggers),2005
Shi mian mai fu (House of Flying Daggers),2005
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),2009
The Painted Veil,2007
T-Rex: Back to the Cretaceous (IMAX),2008
The Painted Veil,2008
Sanxia haoren (Still Life),2007
The Painted Veil,2009
Sanxia haoren (Still Life),2007
Hero (Ying xiong),2003
Qian Ting Zong Dong Yuan,2008
The Painted Veil,2008
Legendary Amazons,2012
The Painted Veil,2007
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),2009
Two Stupid Eggs,2007
Shi mian mai fu (House of Flying Daggers),2004
Hero (Ying xiong),2003
Qi yu (Old Fish),2008
El Guachiman (The Watchman),2012
Irreversi,2009
Let's Steal Together,2007
Calabash Brothers,2008
Legendary Amazons,2011
Sanxia haoren (Still Life),2007
Flying Swords of Dragon Gate,2011
Legendary Amazons,2011
Summer (2007),2007
The Painted Veil,2007
A Chinese Fairy Tale,2008
Tamendechuan,2008
The Touch,2003
The Painted Veil,2007
Shi mian mai fu (House of Flying Daggers),2004
Gao xing,2009
The Painted Veil,2008
One Foundation,2007
Shi mian mai fu (House of Flying Daggers),2005
Rapid Blind Date,2007
Help (2007),2008
Shi mian mai fu (House of Flying Daggers),2004
Red Start,2007
Flying Swords of Dragon Gate,2011
50 Meters Line Between Alive or Dead,2008
Shi mian mai fu (House of Flying Daggers),2004
Hero (Ying xiong),2002
Hero (Ying xiong),2004
Shaolin Temple,2011
Final Contract: Death or Delivery,2007
Shi mian mai fu (House of Flying Daggers),2005
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),2009
The Underdog Knight,2008
Bullet Fist,2007
Shi mian mai fu (House of Flying Daggers),2005
Legendary Amazons,2011
Esquire Runaway,2008
My Xianggelila,2007
Silver Medalist,2009
Shaolin Temple,2011
The Painted Veil,2007
Shi mian mai fu (House of Flying Daggers),2005
Hero (Ying xiong),2003
Sanxia haoren (Still Life),2007
Hutushenpan,2008
World Second,2007
Niu Qi Chong Tian,2009
Ha! Ha! Ha!,2008
Dangerous Liaisons (2012),2012
Nan cai nu mao,2007
Shaolin Temple,2011
Sanxia haoren (Still Life),2007
Sanxia haoren (Still Life),2007
Olympic Is In My Family,2008
I’m Liu Yue Jin,2008
The Painted Veil,2007
Shaolin Temple,2011
El Guachiman (The Watchman),2011
Mai Mai Ti De 2008,2008
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),2009
The Painted Veil,2007
Dangerous Liaisons (2012),2012
Left Right,2008
Gongpu,2007
Lichun (And the Spring Comes),2008
Lost Soul in the Ancient House,2007
Zhou Guo Ping (Road to Home),2008
Bienazijibudangganbu,2007
The Painted Veil,2007
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),2009
Hero (Ying xiong),2003
5 Guns of Mercy,2008
The Dream Is Alive,2007
The Painted Veil,2007
Hero (Ying xiong),2003
Sanxia haoren (Still Life),2006
Shaolin Temple,2011
Ye Mei Gui (Night Rose),2009
The Painted Veil,2007
Men (The Door),2007
Beijing Taxi Driver,2007
Ye Zhu Zou Ming Qu,2009
The Painted Veil,2007
The Painted Veil,2007
Flying Swords of Dragon Gate,2011
The First of August,2007
Sanxia haoren (Still Life),2007
Shi mian mai fu (House of Flying Daggers),2004
Xi Zang Jin Xi,2009
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),2009
Legendary Amazons,2011
Sanxia haoren (Still Life),2008
Shaolin Temple,2011
Lü cao di (Mongolian Ping Pong),2007
E-Mail,2007
The Touch,2003
Ye Man De Wen Rou (Barbarian Tender),2008
Tao Qi Bao Ma Xiao Tiao,2009
Fast Track: No Limits,2008
Flying Swords of Dragon Gate,2012
The Painted Veil,2007
Dangerous Liaisons (2012),2012
Flying Swords of Dragon Gate,2012
The Painted Veil,2007
Liang ren fang,2008
The Painted Veil,2008
Hu San Niang,2008
Anaconda Frightened,2008
The Painted Veil,2007
Deadly Delicious,2008
Shen xiao chuan qi,2007
Flying Swords of Dragon Gate,2011
Dangerous Liaisons (2012),2012
Ai qing hu jiao zhuan yi,2007
Hero (Ying xiong),2005
The Painted Veil,2007
Dangerous Liaisons (2012),2012
Forgive and Forget,2007
Tiandigaobai,2007
The Painted Veil,2007
Legend of the Tang Dynasty,2007
Cold Harvest (1999),2008
Shi mian mai fu (House of Flying Daggers),2005
The Painted Veil,2007
The Touch,2002
Shi mian mai fu (House of Flying Daggers),2005
Sanxia haoren (Still Life),2007
Hero (Ying xiong),2004
Huang Cun Ke Zhan (The Deserted Inn),2008
Sanxia haoren (Still Life),2007
Gan bu,2007
Shaolin Temple,2011
Shi fen ai,2007
Falling in Love,2007
The Painted Veil,2007
Mang shan (Blind Mountain),2007
Hero (Ying xiong),2004
Shi mian mai fu (House of Flying Daggers),2005
Dangerous Games,2007
Shanghai Trance (City of Trance),2008
Hero (Ying xiong),2003
Flying Swords of Dragon Gate,2012
Hero (Ying xiong),2003
The Closet,2007
Lemonade,2009
Shi mian mai fu (House of Flying Daggers),2005
Shi Quan Jiu Mei (Almost Perfect),2008
Ni Hong Deng Xia Xin Shao Bing,2008
Shadows (reissue),2010
The Revelation of the Pyramids,2011
Larin izbor: Izgubljeni princ,2012
Tady hlídám já,2012
Experti,2006
Program Nar Vinyan Ar-Kat (Coming Soon),2009
